logprefix,Re,l2norm
deg60path1,2000,0.176281,
deg60path1,2200,0.176658,
deg60path1,2400,0.17698,
deg60path1,2600,0.177255,
deg60path1,2800,0.177487,
deg60path1,3000,0.177678,
deg60path1,3200,0.177824,
deg60path1,3400,0.177906,
deg60path1,3600,0.177787,
deg60path2,2000,0.168574,
deg60path2,2200,0.170537,
deg60path2,2400,0.172018,
deg60path2,2600,0.173207,
deg60path2,2800,0.174204,
deg60path2,3000,0.175067,
deg60path2,3200,0.175842,
deg60path2,3400,0.176576,
deg60path2,3600,0.177425,
deg90path0,2000,0.113674,
deg90path0,2200,0.111423,
deg90path0,2400,0.109371,
deg90path0,2600,0.107485,
deg90path0,2800,0.105741,
deg90path0,3000,0.104123,
deg90path0,3200,0.102616,
deg90path0,3400,0.101207,
deg90path0,3600,0.0998867,
